PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Adrian Peterson*,,Sea,L 16-22,,0/0,0,0,0,,21,29,0,,1,13,0,2,,0,1,0,,3.2
Marvin Jones Jr.,,Cle,W 38-24,,0/0,0,0,0,,0,0,0,,1,22,0,2,,0,0,0,,3.2
Pharoh Cooper,,Hou,W 33-7,,0/0,0,0,0,,0,0,0,,2,12,0,2,,0,0,0,,3.2
Lance Dunbar*,,Hou,W 33-7,,0/0,0,0,0,,5,31,0,,0,0,0,1,,0,0,0,,3.1
C.J. Fiedorowicz*,,@LAR,L 7-33,,0/0,0,0,0,,0,0,0,,2,10,0,4,,0,0,0,,3
Jack Doyle,,Pit,L 17-20,,0/0,0,0,0,,0,0,0,,2,9,0,5,,0,0,0,,2.9
J.J. Nelson,,Sea,L 16-22,,0/0,0,0,0,,0,0,0,,1,17,0,4,,0,0,0,,2.7
Tyler Lockett,,@Ari,W 22-16,,0/0,0,0,0,,0,0,0,,1,16,0,2,,0,0,0,,2.6
Bilal Powell,,@TB,L 10-15,,0/0,0,0,0,,10,30,0,,1,6,0,2,,0,1,0,,2.6
Aaron Ripkowski,,@Chi,W 23-16,,0/0,0,0,0,,2,3,0,,1,12,0,1,,0,0,0,,2.5
Jordan Matthews*,,NO,L 10-47,,0/0,0,0,0,,0,0,0,,1,14,0,2,,0,0,0,,2.4
Terron Ward,,Dal,W 27-7,,0/0,0,0,0,,9,23,0,,0,0,0,0,,0,0,0,,2.3
Aldrick Robinson,,NYG,W 31-21,,0/0,0,0,0,,0,0,0,,1,12,0,1,,0,0,0,,2.2
Brenton Bersin,,Mia,W 45-21,,0/0,0,0,0,,0,0,0,,1,12,0,2,,0,0,0,,2.2
Derek Watt,,@Jax,L 17-20,,0/0,0,0,0,,0,0,0,,1,12,0,2,,0,0,0,,2.2
Wayne Gallman,,@SF,L 21-31,,0/0,0,0,0,,3,22,0,,0,0,0,1,,0,0,0,,2.2
Aaron Jones*,,@Chi,W 23-16,,0/0,0,0,0,,3,12,0,,1,0,0,1,,0,0,0,,2.2
Tarik Cohen,,GB,L 16-23,,0/0,0,0,0,,1,1,0,,1,10,0,2,,0,0,0,,2.1
Levine Toilolo*,,Dal,W 27-7,,0/0,0,0,0,,0,0,0,,1,10,0,1,,0,0,0,,2
Cameron Brate,,NYJ,W 15-10,,0/0,0,0,0,,0,0,0,,1,10,0,3,,0,0,0,,2
Dwayne Washington,,Cle,W 38-24,,0/0,0,0,0,,0,0,0,,1,10,0,1,,0,0,0,,2
Alex Erickson,,@Ten,L 20-24,,0/0,0,0,0,,2,6,0,,1,4,0,1,,0,0,0,,2
Lance Kendricks,,@Chi,W 23-16,,0/0,0,0,0,,0,0,0,,1,9,0,2,,0,0,0,,1.9
Terrance Williams,,@Atl,L 7-27,,0/0,0,0,0,,0,0,0,,1,9,0,4,,0,0,0,,1.9
Richard Rodgers*,,@Chi,W 23-16,,0/0,0,0,0,,0,0,0,,1,8,0,1,,0,0,0,,1.8
D'Onta Foreman*,,@LAR,L 7-33,,0/0,0,0,0,,7,18,0,,0,0,0,0,,0,0,0,,1.8
Hunter Henry*,,@Jax,L 17-20,,0/0,0,0,0,,0,0,0,,1,7,0,2,,0,0,0,,1.7
Josh Malone,,@Ten,L 20-24,,0/0,0,0,0,,0,0,0,,1,6,0,1,,0,0,0,,1.6
Deonte Thompson,,NO,L 10-47,,0/0,0,0,0,,1,-5,0,,1,10,0,4,,0,0,0,,1.5
Kaelin Clay,,Mia,W 45-21,,0/0,0,0,0,,0,0,0,,1,5,0,1,,0,0,0,,1.5
Michael Hoomanawanui*,,@Buf,W 47-10,,0/0,0,0,0,,0,0,0,,1,4,0,1,,0,0,0,,1.4
Jeff Heuerman,,NE,L 16-41,,0/0,0,0,0,,0,0,0,,1,4,0,3,,0,0,0,,1.4
Tyler Kroft,,@Ten,L 20-24,,0/0,0,0,0,,0,0,0,,1,4,0,6,,0,0,0,,1.4
ArDarius Stewart,,@TB,L 10-15,,0/0,0,0,0,,1,4,0,,1,0,0,1,,0,0,0,,1.4
Antonio Gates,,@Jax,L 17-20,,0/0,0,0,0,,0,0,0,,1,3,0,2,,0,0,0,,1.3
Ted Ginn Jr.,,@Buf,W 47-10,,0/0,0,0,0,,0,0,0,,1,3,0,1,,0,0,0,,1.3
Travis Benjamin,,@Jax,L 17-20,,0/0,0,0,0,,1,13,0,,0,0,0,3,,0,0,0,,1.3
Amara Darboh,,@Ari,W 22-16,,0/0,0,0,0,,0,0,0,,1,3,0,2,,0,0,0,,1.3
David Njoku,,@Det,L 24-38,,0/0,0,0,0,,0,0,0,,1,3,0,6,,0,0,0,,1.3
