Player,Opp,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Paul Turner WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Mike Wallace WR - BAL,MIA,-,-,-,-,-,-,-,-,-,-,0.00
Bryan Walters WR,Bye,-,-,-,-,-,-,-,-,-,-,-
David Watford WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Sammy Watkins WR - LA View Videos,Bye,-,-,-,-,-,-,-,-,-,-,-
Eric Weems WR - TEN,Bye,-,-,-,-,-,-,-,-,-,-,-
Dede Westbrook WR - JAX,Bye,-,-,-,-,-,-,-,-,-,-,-
Jordan Westerkamp WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Markus Wheaton WR - CHI,@NO,-,-,-,-,-,-,-,-,-,-,0.00
Kevin White WR - CHI,@NO,-,-,-,-,-,-,-,-,-,-,0.00
Myles White WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Lucky Whitehead WR - NYJ,ATL,-,-,-,-,-,-,-,-,-,-,0.00
