FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Justin,Hardy,W (Jan 10),1.0,5,1.68,0%,341,341,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.8,8.7,0.1,0.0,0.0,0.0
TJ,Jones,W (Jan 10),1.0,7,1.46,0%,345,345,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.0,6.8,0.0,0.0,0.0,0.0
Amara,Darboh,W (Jan 10),1.0,6,1.43,0%,348,348,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.8,10.5,0.0,0.0,0.0,0.0
Chad,Williams,W (Jan 10),1.0,8,1.41,0%,349,349,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,7.7,0.1,0.0,0.0,0.0
Pharoh,Cooper,W (Jan 10),1.0,8,1.24,0%,352,352,0.0,0.0,0.0,0.1,0.3,0.0,1.2,0.7,7.1,0.0,0.0,0.0,0.0
Cody,Latimer,W (Jan 10),1.0,5,1.05,0%,356,356,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.6,7.7,0.0,0.0,0.0,0.0
Isaiah,McKenzie,W (Jan 10),1.0,5,0.96,0%,359,359,0.0,0.0,0.0,0.5,1.3,0.0,0.9,0.5,5.9,0.0,0.0,0.0,0.0
Charone,Peake,W (Jan 10),1.0,11,0.93,0%,361,361,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.5,5.5,0.0,0.0,0.0,0.0
Ryan,Switzer,W (Jan 10),1.0,6,0.91,0%,362,362,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,6.5,0.0,0.0,0.0,0.0
Brittan,Golden,W (Jan 10),1.0,8,0.91,0%,363,363,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,7.0,0.0,0.0,0.0,0.0
Josh,Reynolds,W (Jan 10),1.0,8,0.56,0%,365,365,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,3.5,0.0,0.0,0.0,0.0
Andre,Roberts,W (Jan 10),1.0,5,0.49,0%,367,367,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,0.0,0.1,0.0,0.0
Trevor,Davis,W (Jan 10),1.0,8,0.38,0%,368,368,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,2.3,0.0,0.0,0.0,0.0
Brandon,Tate,W (Jan 10),1.0,6,0.38,0%,369,369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Darrius,Heyward-Bey,W (Jan 10),1.0,9,0.25,0%,372,372,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.1,1.4,0.0,0.0,0.0,0.0
Chris,Moore,W (Jan 10),1.0,10,0.23,0%,373,373,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,1.5,0.0,0.0,0.0,0.0
Noah,Brown,W (Jan 10),1.0,6,0.19,0%,375,375,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,1.4,0.0,0.0,0.0,0.0
Jeff,Janis,W (Jan 10),1.0,8,0.15,0%,377,377,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.7,0.0,0.0,0.0,0.0
Leonte,Carroo,W (Jan 10),1.0,1,0.14,0%,380,380,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8,0.0,0.0,0.0,0.0
Dwayne,Harris,W (Jan 10),1.0,8,0.11,0%,382,382,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.0,0.0,0.0,0.0
