PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Rodney Smith,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
Kenbrell Thompkins,NE,L 17-24,0/0,0,0,0,0,0,0,0,0,0,0
Myles White,NE,L 17-24,0/0,0,0,0,0,0,0,0,0,0,0
Marlon Brown,NYG,L 10-23,0/0,0,0,0,0,0,0,0,0,0,0
Odell Beckham Jr.*,@Den,W 23-10,0/0,0,0,0,0,0,0,0,0,0,0
Jordan Matthews*,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
Josh Huff,@Ari,L 33-38,0/0,0,0,0,0,0,0,0,0,0,0
Cody Latimer*,NYG,L 10-23,0/0,0,0,0,0,0,0,0,0,0,0
Allen Robinson*,LAR,L 17-27,0/0,0,0,0,0,0,0,0,0,0,0
Shaq Evans,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
Jeremy Gallon,@NYJ,W 24-17,0/0,0,0,0,0,0,0,0,0,0,0
Kevin Norwood,@Den,W 23-10,0/0,0,0,0,0,0,0,0,0,0,0
Jalen Saunders,@NYJ,W 24-17,0/0,0,0,0,0,0,0,0,0,0,0
Devin Street,Cle,W 33-17,0/0,0,0,0,0,0,0,0,0,0,0
Corey Washington,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
Robert Herron,LAC,L 16-17,0/0,0,0,0,0,0,0,0,0,0,0
Brenton Bersin,Phi,L 23-28,0/0,0,0,0,0,0,0,0,0,0,0
Corey Brown,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
Frankie Hammond,NE,L 17-24,0/0,0,0,0,0,0,0,0,0,0,0
James Wright,@Ten,L 22-36,0/0,0,0,0,0,0,0,0,0,0,0
Isaiah Burse*,@Oak,W 17-16,0/0,0,0,0,0,0,0,0,0,0,0
Jeremy Butler*,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
Damian Copeland,@NO,L 38-52,0/0,0,0,0,0,0,0,0,0,0,0
Jonathan Krause,Ind,W 36-22,0/0,0,0,0,0,0,0,0,0,0,0
Walter Powell,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
Rashad Ross,TB,W 38-33,0/0,0,0,0,0,0,0,0,0,0,0
Freddie Martino,@Ari,L 33-38,0/0,0,0,0,0,0,0,0,0,0,0
Kevin Smith,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
Andre Debose,@Ten,L 22-36,0/0,0,0,0,0,0,0,0,0,0,0
DiAndre Campbell,@Wsh,L 24-26,0/0,0,0,0,0,0,0,0,0,0,0
Issac Blakeney,@KC,W 19-13,0/0,0,0,0,0,0,0,0,0,0,0
Geremy Davis,@Oak,W 17-16,0/0,0,0,0,0,0,0,0,0,0,0
Da'Ron Brown,@Oak,W 17-16,0/0,0,0,0,0,0,0,0,0,0,0
Kenny Bell,Chi,L 24-27,0/0,0,0,0,0,0,0,0,0,0,0
Dres Anderson,@Ten,L 22-36,0/0,0,0,0,0,0,0,0,0,0,0
Keith Mumphery,Cle,W 33-17,0/0,0,0,0,0,0,0,0,0,0,0
DeAndrew White,Cle,W 33-17,0/0,0,0,0,0,0,0,0,0,0,0
Dezmin Lewis,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
Devin Smith*,NE,L 17-24,0/0,0,0,0,0,0,0,0,0,0,0
Evan Spencer,@Ari,L 33-38,0/0,0,0,0,0,0,0,0,0,0,0
DeVante Parker,@Atl,W 20-17,0/0,0,0,0,0,0,0,0,0,0,0
Rashad Greene Sr.*,LAR,L 17-27,0/0,0,0,0,0,0,0,0,0,0,0
Chris Conley*,Pit,L 13-19,0/0,0,0,0,0,0,0,0,0,0,0
Dorial Green-Beckham,@Car,W 28-23,0/0,0,0,0,0,0,0,0,0,0,0
Stefon Diggs,GB,W 23-10,0/0,0,0,0,0,0,0,0,0,0,0
Kevin White*,@Bal,W 27-24,0/0,0,0,0,0,0,0,0,0,0,0
Jaelen Strong*,LAR,L 17-27,0/0,0,0,0,0,0,0,0,0,0,0
Mario Alford,@Hou,L 17-33,0/0,0,0,0,0,0,0,0,0,0,0
DeAndre Smelter,@Wsh,L 24-26,0/0,0,0,0,0,0,0,0,0,0,0
Duron Carter,@Ten,L 22-36,0/0,0,0,0,0,0,0,0,0,0,0
Antwan Goodley,@Min,L 10-23,0/0,0,0,0,0,0,0,0,0,0,0
Seantavius Jones,@Ten,L 22-36,0/0,0,0,0,0,0,0,0,0,0,0
Cameron Meredith*,@Bal,W 27-24,0/0,0,0,0,0,0,0,0,0,0,0
Lucky Whitehead,NE,L 17-24,0/0,0,0,0,0,0,0,0,0,0,0
Quincy Enunwa*,NE,L 17-24,0/0,0,0,0,0,0,0,0,0,0,0
Matt Hazel,@Hou,L 17-33,0/0,0,0,0,0,0,0,0,0,0,0
Chris Harper,NE,L 17-24,0/0,0,0,0,0,0,0,0,0,0,0
Tyler Murphy,@Atl,W 20-17,0/0,0,0,0,0,0,0,0,0,0,0
Bradley Marquez,@NO,L 38-52,0/0,0,0,0,0,0,0,0,0,0,0
Donteea Dye,@Ari,L 33-38,0/0,0,0,0,0,0,0,0,0,0,0
Javontee Herndon,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
